id,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,1950,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,audio_features,spotify:track:3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/tracks/3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/audio-analysis/3YdKJzcoMZMacISlpY4QoP,202773,3
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",1950,0.696,0.547,5,-5.954,0,0.169,0.792,0.0,0.155,0.623,73.203,audio_features,spotify:track:5P11rW6aJErF37MTfRZS31,https://api.spotify.com/v1/tracks/5P11rW6aJErF37MTfRZS31,https://api.spotify.com/v1/audio-analysis/5P11rW6aJErF37MTfRZS31,155507,4
2gNjmvuQiEd2z9SqyYi8HH,Summertime,1950,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,audio_features,spotify:track:2gNjmvuQiEd2z9SqyYi8HH,https://api.spotify.com/v1/tracks/2gNjmvuQiEd2z9SqyYi8HH,https://api.spotify.com/v1/audio-analysis/2gNjmvuQiEd2z9SqyYi8HH,298133,5
2iXcvnD3d1gfLBum0cE5Eg,Tutti Frutti,1950,0.555,0.658,5,-3.866,1,0.0541,0.793,0.0,0.118,0.937,184.835,audio_features,spotify:track:2iXcvnD3d1gfLBum0cE5Eg,https://api.spotify.com/v1/tracks/2iXcvnD3d1gfLBum0cE5Eg,https://api.spotify.com/v1/audio-analysis/2iXcvnD3d1gfLBum0cE5Eg,144227,4
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,1950,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,audio_features,spotify:track:4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/tracks/4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/audio-analysis/4l9hml2UCnxoNI3yCdL1BW,141133,4
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,1950,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,audio_features,spotify:track:66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/tracks/66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/audio-analysis/66iKqUazBbTlAEjcZrpDkD,151867,4
2vSxjnyrWrtxyfzO47EX6q,Smoke Gets In Your Eyes,1950,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,audio_features,spotify:track:2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/tracks/2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/audio-analysis/2vSxjnyrWrtxyfzO47EX6q,160933,3
47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,1950,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252,audio_features,spotify:track:47gmoUrZV3w20JAnQOZMcO,https://api.spotify.com/v1/tracks/47gmoUrZV3w20JAnQOZMcO,https://api.spotify.com/v1/audio-analysis/47gmoUrZV3w20JAnQOZMcO,119200,4
4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered 1998,1950,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,audio_features,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
1uRKT2LRANv4baowBWHfDS,(We're Gonna) Rock Around The Clock,1950,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,audio_features,spotify:track:1uRKT2LRANv4baowBWHfDS,https://api.spotify.com/v1/tracks/1uRKT2LRANv4baowBWHfDS,https://api.spotify.com/v1/audio-analysis/1uRKT2LRANv4baowBWHfDS,129893,4
