id,song_name,artist,pic_url,preview_url,decade,release_year
3aPlQWU07jGgyHaBHVS5TS,Fever,Peggy Lee,https://i.scdn.co/image/ab67616d0000b2737c1a73a20e5dbcc984f69cb4,,1950,1958
2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b273d7720a6a8b713b833313f396,,1950,1956
64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,https://p.scdn.co/mp3-preview/5565c6d80f853affdfccb9f71f2ec170c95861ef?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
2drXvACELcvwryaFRiRPdA,Sh-Boom,The Chords,https://i.scdn.co/image/ab67616d0000b27315b2cfd135d4eaba438066ce,https://p.scdn.co/mp3-preview/175ec162ff00951f976d25fb5e28ded46942e096?cid=f4f54a850da14f27a6e2b44603fe8013,1950,2022
4I4aQGNJ2HufloNtB65nxR,That's Amore,Dean Martin,https://i.scdn.co/image/ab67616d0000b273df4dfaff5c996b7998d6c34e,,1950,1954
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",Ray Charles,https://i.scdn.co/image/ab67616d0000b2731990f67950270de15b709d99,https://p.scdn.co/mp3-preview/a30d7f638a0b38851eb1b3068bc8cfe4c7113b33?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
5TNpCThzzXHEipXGKgNG8T,Cheek To Cheek,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273bbe653db27f7711379f92fc5,,1950,1956
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,Buddy Holly,https://i.scdn.co/image/ab67616d0000b273085751ccca901e9bbc25a816,,1950,1958
3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,Bobby Darin,https://i.scdn.co/image/ab67616d0000b273e774643594281699bde1e4ed,https://p.scdn.co/mp3-preview/c548d30e535d83c4e90162a7435f8764669fd381?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
6C7aTTCUWRK7dD379yUT3W,Roll Over Beethoven,Chuck Berry,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,,1950,1959
1oDCK7PW72XEZ1pE5rh87A,Smile,Nat King Cole,https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701,,1950,1991
0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Dion & The Belmonts,https://i.scdn.co/image/ab67616d0000b2737a609132064a415169a915cc,,1950,1959
5zvOXJrzzUlvXwyuwZ0toZ,Oh! Carol,Neil Sedaka,https://i.scdn.co/image/ab67616d0000b2733843b432892fdff0ffd2c96d,https://p.scdn.co/mp3-preview/c5f586aecbb74729cb4beb34e6d02e938c3d1a6b?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
6OsefWNJtsWqO7myze1HEX,Money (That's What I Want) - Single Version / Mono,Barrett Strong,https://i.scdn.co/image/ab67616d0000b2738133c389b5a5ce1fc4fdd477,,1950,2004
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,Ray Charles,https://i.scdn.co/image/ab67616d0000b2737b97663666f03928ff1e4578,,1950,2009
